category_id,subcategory_id,name
1,1,standard_business_cards
1,2,specialty_business-cards
4,3,specialty_invitations
4,4,standard_invitations
4,5,wall_calendars
4,6,cut_to_shape_magnets
4,7,standard_flyers
4,8,specialty_flyers
4,9,standard_greeting_cards
4,10,specialty_greeting_cards
4,11,standard_postcards
4,12,specialty_postcards
4,13,Postcard-addressed-postage-due
4,14,postcard-enveloped-and-addressed-postage-included
4,15,Unaddressed-postcard
4,16,standard_bookmark
4,17,specialty_bookmark
4,18,Standard-rack-cards
4,19,standard_tear_cards
4,20,posters
4,21,door_hangers
4,22,brochures
4,23,Brochure-enveloped-and-addressed-postage-due
4,24,Brochure-enveloped-and-addressed-postage-included
4,25,magnets
4,26,booklets
4,27,Digital-sheets
4,28,variable_printing
4,29,presentation_folders
4,30,Canvas
4,31,plastic
4,32,clings_transparent
4,33,clings_opaque
4,34,tent_cards
4,35,notepads_50_pages
4,36,Notepads_25_pages
4,37,number_tickets
4,38,[null]
4,39,[null]
4,40,[null]
4,41,[null]
4,42,[null]
4,43,[null]
4,44,[null]
4,45,[null]
4,46,[null]
4,47,[null]
4,48,[null]
4,49,[null]
4,50,banners
3,51,pull_up_banners
3,52,x_frame_banners
3,53,4mm_foam_board
3,54,a_frame_signs
3,55,Cut-to-shape-permanent-decals
3,56,cut_shape_removable_decals
3,57,3mm-aluminum-signs_1
3,58,table_covers
3,59,car-magnets-30mil_2
3,60,coroplast
3,61,removable_wall_decals
3,62,3mm-sintra
3,63,floor_graphics
3,64,20pt_styrene
3,65,glossy_adhesive_vinyl
3,66,large-format-posters
3,67,window_perforated_vinyl
3,68,h_stands
3,69,display_board_24pt
3,70,a_frame_stands
3,71,[null]
3,72,[null]
3,73,[null]
3,74,[null]
3,75,[null]
3,76,[null]
3,77,[null]
3,78,[null]
3,79,[null]
3,80,[null]
3,81,[null]
3,82,[null]
3,83,[null]
3,84,[null]
3,85,[null]
3,86,[null]
3,87,[null]
3,88,[null]
3,89,[null]
3,90,[null]
3,91,[null]
3,92,[null]
3,93,[null]
3,94,[null]
3,95,[null]
3,96,[null]
3,97,[null]
3,98,[null]
3,99,[null]
7,100,envelopes
7,101,letterhead
7,102,ncr_forms
7,103,[null]
7,104,[null]
7,105,[null]
7,106,[null]
7,107,[null]
7,108,[null]
7,109,[null]
7,110,[null]
7,112,[null]
7,113,[null]
7,114,[null]
7,115,[null]
7,116,[null]
7,117,[null]
7,118,[null]
7,119,[null]
2,120,roll_labels
2,121,packaging
2,122,stickers
2,123,[null]
2,124,[null]
2,125,[null]
2,126,[null]
2,127,[null]
3,128,4mm_foam_board
3,129,[null]
5,130,promotional_main
5,131,[null]
5,132,[null]
5,133,[null]
5,134,[null]
5,135,[null]
5,136,[null]
5,137,[null]
5,138,[null]
5,139,[null]
5,140,[null]
5,141,[null]
5,142,[null]
5,143,[null]
5,144,[null]
5,145,[null]
5,146,[null]
5,147,[null]
5,148,[null]
5,149,[null]
6,150,sample_pack
9,151,apparel
